	Unnamed: 0	categories	coordinates	display_phone	distance	id	image_url	is_closed	location	name	phone	price	rating	review_count	transactions	url	inspection_score
0	3493	[{u'alias': u'restaurants', u'title': u'Restaurants'}]	{u'latitude': 40.7535515, u'longitude': -73.8642273}	(718) 779-6903	2637.57248288	ho-mei-corona	https://s3-media2.fl.yelpcdn.com/bphoto/AitwBxpOA4H23YVd-HZGCA/o.jpg	False	{u'city': u'Corona', u'display_address': [u'10305 37th Ave', u'Corona, NY 11368'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'10305 37th Ave', u'zip_code': u'11368'}	Ho Mei	17187796903.0	$	5.0	3	[]	https://www.yelp.com/biz/ho-mei-corona?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	8
1	4943	[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}]	{u'latitude': 40.61265, u'longitude': -74.0340499}	(718) 238-0747	9555.13874379	philadelphia-grille-brooklyn	https://s3-media2.fl.yelpcdn.com/bphoto/3CnaTykcgIKJHCy4Je3HHg/o.jpg	False	{u'city': u'Brooklyn', u'display_address': [u'10004 4th Ave', u'Brooklyn, NY 11209'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'10004 4th Ave', u'zip_code': u'11209'}	Philadelphia Grille	17182380747.0	$$	4.0	36	[]	https://www.yelp.com/biz/philadelphia-grille-brooklyn?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	9
2	3674	[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]	{u'latitude': 40.7293762, u'longitude': -73.8613715}	(718) 897-1700	755.186945327	bens-best-rego-park-2	https://s3-media1.fl.yelpcdn.com/bphoto/8SzMvSc33r1dumrBK_GQbA/o.jpg	False	{u'city': u'Rego Park', u'display_address': [u'96-40 Queens Blvd', u'Rego Park, NY 11374'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'96-40 Queens Blvd', u'zip_code': u'11374'}	Ben's Best	17188971700.0	$$	4.0	331	[delivery, pickup]	https://www.yelp.com/biz/bens-best-rego-park-2?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	5
3	3041	[{u'alias': u'bakeries', u'title': u'Bakeries'}, {u'alias': u'diners', u'title': u'Diners'}]	{u'latitude': 40.6901654163, u'longitude': -73.981923967}	(718) 852-5257	3701.98849148	juniors-restaurant-brooklyn	https://s3-media3.fl.yelpcdn.com/bphoto/Uvx5Psf1IhBE8LW_Kw7Qbg/o.jpg	False	{u'city': u'Brooklyn', u'display_address': [u'386 Flatbush Ave Ext', u'Brooklyn, NY 11238'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'386 Flatbush Ave Ext', u'zip_code': u'11238'}	Junior's Restaurant	17188525257.0	$$	3.5	1344	[]	https://www.yelp.com/biz/juniors-restaurant-brooklyn?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	5
4	978	[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'wine_bars', u'title': u'Wine Bars'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]	{u'latitude': 40.76005, u'longitude': -73.98913}	(212) 581-6464	894.476774113	joe-allen-new-york	https://s3-media2.fl.yelpcdn.com/bphoto/R8sMd6M4dd8a_hxqw33T-A/o.jpg	False	{u'city': u'New York', u'display_address': [u'326 W 46th St', u'New York, NY 10036'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'326 W 46th St', u'zip_code': u'10036'}	Joe Allen	12125816464.0	$$	4.0	297	[]	https://www.yelp.com/biz/joe-allen-new-york?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	2
5	4107	[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]	{u'latitude': 40.6302266719, u'longitude': -74.1402754933}	(718) 442-9401	5003.92914334	deninos-pizzeria-tavern-staten-island	https://s3-media3.fl.yelpcdn.com/bphoto/efe7Kmr8CO_wgdR-zg23hg/o.jpg	False	{u'city': u'Staten Island', u'display_address': [u'524 Port Richmond Ave', u'Staten Island, NY 10302'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'524 Port Richmond Ave', u'zip_code': u'10302'}	Denino's Pizzeria Tavern	17184429401.0	$$	4.0	494	[]	https://www.yelp.com/biz/deninos-pizzeria-tavern-staten-island?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	10
6	3150	[{u'alias': u'german', u'title': u'German'}]	{u'latitude': 40.7017618, u'longitude': -73.8813408}	(718) 386-3014	4059.37007069	zum-stammtisch-glendale	https://s3-media2.fl.yelpcdn.com/bphoto/0gGaMVTnxtNRt7hNnSwecA/o.jpg	False	{u'city': u'Glendale', u'display_address': [u'6946 Myrtle Ave', u'Glendale, NY 11385'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'6946 Myrtle Ave', u'zip_code': u'11385'}	Zum Stammtisch	17183863014.0	$$	4.0	357	[]	https://www.yelp.com/biz/zum-stammtisch-glendale?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	10
7	3457	[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'italian', u'title': u'Italian'}]	{u'latitude': 40.7090018174, u'longitude': -73.8304982115}	(718) 846-2849	3128.34073246	danis-house-of-pizza-kew-gardens	https://s3-media1.fl.yelpcdn.com/bphoto/DaXzWWj4QAvUv8Eu7fVQlw/o.jpg	False	{u'city': u'Kew Gardens', u'display_address': [u'81-28 Lefferts Blvd', u'Kew Gardens, NY 11415'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'81-28 Lefferts Blvd', u'zip_code': u'11415'}	Dani's House of Pizza	17188462849.0	$	3.5	700	[]	https://www.yelp.com/biz/danis-house-of-pizza-kew-gardens?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	6
8	2192	[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'italian', u'title': u'Italian'}]	{u'latitude': 40.5946594105, u'longitude': -73.9815150339}	(718) 449-1230	7220.55275677	l-and-b-spumoni-gardens-brooklyn	https://s3-media1.fl.yelpcdn.com/bphoto/4eoLvieoGpta0SXXqhd5HA/o.jpg	False	{u'city': u'Brooklyn', u'display_address': [u'2725 86th St', u'Brooklyn, NY 11223'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'2725 86th St', u'zip_code': u'11223'}	L & B Spumoni Gardens	17184491230.0	$	4.0	2719	[delivery]	https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	10
9	4605	[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'italian', u'title': u'Italian'}]	{u'latitude': 40.5946594105, u'longitude': -73.9815150339}	(718) 449-1230	13527.764213	l-and-b-spumoni-gardens-brooklyn	https://s3-media1.fl.yelpcdn.com/bphoto/4eoLvieoGpta0SXXqhd5HA/o.jpg	False	{u'city': u'Brooklyn', u'display_address': [u'2725 86th St', u'Brooklyn, NY 11223'], u'country': u'US', u'address2': u'', u'address3': u'', u'state': u'NY', u'address1': u'2725 86th St', u'zip_code': u'11223'}	L & B Spumoni Gardens	17184491230.0	$	4.0	2719	[delivery]	https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?adjust_creative=zq2-GC_Byjej-yF_sonmVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zq2-GC_Byjej-yF_sonmVw	10
